NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHARES/ PRN AMT,SH/ PRN,INVSTMT DSCRETN,OTHER
3M CO,COMMON,88579Y101,41907,529464,SH,SOLE,529464
ABBOTT LABS,COMMON,2824100,1317,23886,SH,SOLE,23886
ACCENTURE LTD BERMUDA,CLASS A,G1150G111,3517,100000,SH,SOLE,100000
ACE LTD,COMMON,G0070K103,435,7900,SH,SOLE,7900
ADVANTAGE ENERGY INCOME FD,TRUST UNIT,00762L101,353,30695,SH,SOLE,30695
AES CORP,COMMON,00130H105,329,19764,SH,SOLE,19764
AETNA INC NEW,COMMON,00817Y108,615,14609,SH,SOLE,14609
AFLAC INC,COMMON,1055102,2295,35337,SH,SOLE,35337
AGNICO EAGLE MINES LTD,COMMON,8474108,35154,518100,SH,SOLE,518100
AGRIUM INC,COMMON,8916108,17706,284927,SH,SOLE,284927
ALBERTO CULVER CO NEW,COMMON,13078100,625,22800,SH,SOLE,22800
ALLSTATE CORP,COMMON,20002101,2829,58869,SH,SOLE,58869
ALPHA NATURAL RESOURCES INC,COMMON,02076X102,1520,35000,SH,SOLE,35000
ALTRIA GROUP INC,COMMON,02209S103,19372,872594,SH,SOLE,872594
AMAZON COM INC,COMMON,23135106,207,2900,SH,SOLE,2900
AMEREN CORP,COMMON,23608102,287,6527,SH,SOLE,6527
AMERICAN EXPRESS CO,COMMON,25816109,726,16615,SH,SOLE,16615
AMERICAN INTL GROUP INC,COMMON,26874107,56246,1300479,SH,SOLE,1300479
AMERISOURCEBERGEN CORP,COMMON,########,660,16111,SH,SOLE,16111
AMGEN INC,COMMON,31162100,13401,320747,SH,SOLE,320747
ANALOG DEVICES INC,COMMON,32654105,266,9000,SH,SOLE,9000
ANGLOGOLD ASHANTI LTD,ADR (1 ORD SHR),35128206,717,21100,SH,SOLE,21100
ANHEUSER BUSCH COS INC,COMMON,35229103,3006,63345,SH,SOLE,63345
ANHEUSER BUSCH COS INC,COMMON,35229103,4745,100000,SH,SOLE,100000
APACHE CORP,COMMON,37411105,9025,74696,SH,SOLE,74696
APPLE INC,COMMON,37833100,7175,50000,SH,SOLE,50000
ARCH COAL INC,COMMON,39380100,1392,32000,SH,SOLE,32000
ARCHER DANIELS MIDLAND CO,COMMON,39483102,8434,204915,SH,SOLE,204915
ASSURANT INC,COMMON,04621X108,250,4100,SH,SOLE,4100
AT&T INC,COMMON,00206R102,3966,103552,SH,SOLE,103552
AUTOMATIC DATA PROCESSING IN,COMMON,53015103,1797,42390,SH,SOLE,42390
AUTOZONE INC,COMMON,53332102,228,2000,SH,SOLE,2000
BANK MONTREAL QUE,COMMON,63671101,54511,1217217,SH,SOLE,1217217
BANK NOVA SCOTIA HALIFAX,COMMON,64149107,89366,1969802,SH,SOLE,1969802
BANK OF AMERICA CORPORATION,COMMON,60505104,2272,59929,SH,SOLE,59929
BANRO CORP,COMMON,66800103,2287,279053,SH,SOLE,279053
BARRICK GOLD CORP,COMMON,67901108,83425,1907276,SH,SOLE,1907276
BAXTER INTL INC,COMMON,71813109,395,6826,SH,SOLE,6826
BAYTEX ENERGY TR,TRUST UNIT,73176109,5193,233900,SH,SOLE,233900
